Episode,Reward,Action,Best_Score,x,y,z
1,383.94772839769723,"[601.6976495982944, 28.70764983647627, 825.0326344598227, 162.95497578632143]",421.25046704151424,3.363778842214129,5.382044100334872,0.0
2,147.23386578088036,"[898.9532978299567, 2.6248051816001787, 825.402841973716, 787.0240856997557]",421.25046704151424,-4.8948253958615915,-16.180696195320937,0.0
3,265.41513707237647,"[899.8181007408017, 900.124313836189, -0.24512094448866145, 899.6263542971991]",421.25046704151424,-65.99046621539141,-0.6555802643951688,9.454902662494801
4,297.2346849270991,"[5.954269294177417, 752.8142038384265, 14.698298249661372, 898.7680964986366]",421.25046704151424,5.490849326754652,2.9965235808245647,0.0
5,277.49537545186547,"[822.8561630952922, 899.3623580763074, 48.75061972108228, 899.9691140045268]",421.25046704151424,0.15299377152091287,2.898045217319478,0.0
6,277.46822220265676,"[899.9416008937962, 900.0289618777493, 795.7173666363407, 899.3417904377812]",421.25046704151424,0.7031874163184313,2.9263944210599604,0.0
7,277.5078545924099,"[899.9002953676622, 900.362543554977, 2.594597209029076, 899.5349519538468]",421.25046704151424,-1.8544510664334,2.8362823371994477,0.0
8,277.28685728000653,"[899.7854902977782, 900.8308715245533, -0.15667007685349726, 900.0377506457584]",421.25046704151424,-3.6165533279629796,2.975904770100749,0.0
9,337.13240062363286,"[899.6583162943568, -0.9780773030702632, -0.18612804777585415, -0.2076972558266533]",421.25046704151424,-21.076576919322996,-54.45415763124607,9.216757469855324
10,129.89715554806386,"[899.5427225443462, -0.04301059744215341, 0.31883583967413154, 0.05029049321483611]",421.25046704151424,-16.004399078217375,3.7503983634767715,0.0
11,183.7175462826081,"[899.5816675911351, 0.27878280369675734, -0.25708006556731844, 0.3652866310290422]",421.25046704151424,-13.918740928600434,2.4235732016197438,0.0
12,172.18677757654848,"[899.9679354721526, -0.26248358084485934, -0.008883000047464774, 0.39003368587388154]",421.25046704151424,-19.70502746469048,4.558944135464263,0.0
13,208.65835704062684,"[900.6136240696684, -0.1423613051457482, 0.40253840319734163, 0.1283057794824568]",421.25046704151424,-12.881047895855279,15.761065721485528,0.0
14,200.40381185607026,"[899.4730339782857, -0.11752743411090885, 0.30891081212864036, -0.6969836481384992]",421.25046704151424,-15.960968773061209,10.765338647639185,0.0
15,180.49137831821244,"[0.002107013225487425, 899.5119532936179, 899.7363392191313, 899.9252908747283]",421.25046704151424,15.920123136890286,11.686273223276512,0.0
16,384.91311527112157,"[899.5284895678429, 0.025221661717781646, 900.6343241719973, 0.8180784528023879]",421.25046704151424,-13.343789815108538,1.8034094402968919,50.443149368443066
17,387.451508087171,"[900.4499879983041, 0.420357067062605, -0.7402257131193071, -0.32386049258421273]",421.25046704151424,-12.366287882258233,5.8019024451873555,4.723294304487914
18,219.20337965983362,"[8.614162378088526, 900.3710819554817, 75.38291919666621, 0.49702334739586745]",421.25046704151424,0.5940327327532886,10.38812290991197,0.0
19,178.80694831098774,"[-0.5883534564479873, 899.4876534419409, 900.4004874700105, 0.3115050017404986]",421.25046704151424,2.0419094263867543,13.418928998376922,0.0
20,178.87357365020725,"[-0.21432837855798342, 900.7118564096949, 900.1616240468921, 0.20813857800710514]",421.25046704151424,-2.4747016481897566,12.718951129671217,0.0
21,210.48623563698902,"[0.2646575885474467, 899.6869407824697, 899.7350416252644, -0.4393469103297847]",421.25046704151424,3.7673645910392404,9.731656581662122,0.0
22,220.41644186974563,"[0.3721012056692669, 899.6755563650356, 899.7549335366734, 0.24087562632257595]",421.25046704151424,-1.2358801954909306,22.607965126823707,0.0
23,190.77091650085572,"[1.0277031870883901, 900.4726505223698, 900.3702012565932, 0.03343742656828499]",421.25046704151424,-1.2315183258318234,8.129574784913846,0.0
24,234.1887703824741,"[900.0217033481349, 893.7495753144918, 899.621215147772, -0.101391471762236]",421.25046704151424,-3.6110256523399493,-3.249109698097162,0.0
25,204.93165665276987,"[-0.2302691335082492, 899.6638309179564, 873.1317981986416, -0.004985297097992114]",421.25046704151424,-0.7353743964494145,6.597988553243756,0.0
26,216.22667956330912,"[1.024635939168917, 900.2633503458577, 0.15609662264076016, -0.9038480385459147]",421.25046704151424,2.25000843067109,8.475060939874567,0.0
27,216.14564091527956,"[0.08049422743427267, 900.2853863385067, 0.07532598231383622, -0.7093440508742582]",421.25046704151424,-1.98190379773656,11.724878518708573,0.0
28,210.07969552404256,"[6.4091257516034315, 900.5306959657449, -0.4508579892264366, 0.9524077146732657]",421.25046704151424,-3.839537321168685,10.936792433883184,0.0
29,208.203736310676,"[-0.6975615244363995, 900.0490740187028, 0.042533009093822266, 0.11050896051971235]",421.25046704151424,1.4108093391693848,4.879980438598615,0.0
30,198.88314678976062,"[882.0991302919109, 900.4788321663013, 1.5597322564301415, 0.10276444758908694]",421.25046704151424,-3.5511892381744286,10.63025452552864,0.0
31,181.82228604114678,"[-0.5220997234697895, 899.9781165543659, -0.09904147664159993, 0.5867015265297584]",421.25046704151424,1.808332350279848,7.396363455940829,0.0
32,178.72405819384727,"[-0.031096783321193852, 899.9303089483682, -0.08022386903909196, 0.6445560019858171]",421.25046704151424,-1.7050711492206887,12.820517791230229,0.0
33,219.08714410287797,"[-0.3682087182653897, 899.7718037941, -0.632195461041807, -0.18576581611168158]",421.25046704151424,-1.6268184149548934,9.528642976950726,0.0
34,181.73408393067402,"[900.3613056750337, 900.2801593916857, -0.29765372290059194, 0.3161062489485869]",421.25046704151424,-1.7546754852830866,10.44558674442059,0.0
35,201.77051013873407,"[899.7147667580971, 899.8227893502981, -0.3264230563884057, 726.5587414692043]",421.25046704151424,-2.867706896981862,9.102353431582491,0.0
36,218.85615969463038,"[899.8291667534966, 899.4368110289171, 891.9826044011073, -0.0005946585961669748]",421.25046704151424,-4.627984933192762,9.903689415060365,0.0
37,184.51124070644306,"[900.381044821772, 900.6196310867812, -0.3902514031284776, 42.10140525392455]",421.25046704151424,-3.6824149114011315,9.49567792585446,0.0
38,193.97673688179944,"[1.225566158935221, 899.732574060075, 0.5936778051026248, -0.41442140709819286]",421.25046704151424,0.9827114149613672,10.26312277109586,0.0
39,201.0645530959494,"[900.2363188515163, 899.7439179069219, -0.18947912150775703, 899.4816094574144]",421.25046704151424,-10.586151557843252,9.374611609159185,0.0
40,225.36323654087914,"[899.5722395651966, 899.7677569084221, -0.2569520063648961, 1.074081923724001]",421.25046704151424,-22.192459679782157,10.012522133592782,0.0
41,199.11190339966436,"[0.276100256927805, 900.155880020782, 900.2840695886188, 0.031111570876482975]",421.25046704151424,-1.9161472014601042,8.572834297869697,0.0
42,178.33425165873004,"[900.2493984028002, 899.5283035561455, -0.40091977184477107, 900.0621617848083]",421.25046704151424,-4.944895058073981,13.205290767215056,0.0
43,206.22008068430165,"[0.5912136936633791, 900.5529043988801, 0.1980434280713374, 0.10710617278581722]",421.25046704151424,1.6772586650874912,19.998951767398047,0.0
44,207.8625300033504,"[-0.1112405979811239, 900.1848653035961, 1.93997580393297, 898.894897866098]",421.25046704151424,2.083215169593287,7.963467641146723,0.0
45,218.9687598402105,"[899.9137307459657, 899.6486190529835, 288.85943611986977, 899.0562291780276]",421.25046704151424,-2.7160443777260763,9.983504455638576,0.0
46,181.43811904765096,"[-0.5793856749864867, 899.6094976945802, 262.5979648909696, 0.250894554220393]",421.25046704151424,5.247646406818296,7.53506162259621,0.0
47,192.5672053345,"[899.7166815288606, 900.280525306964, 0.18597645389391554, 900.0567814604098]",421.25046704151424,2.3554919128378335,17.60686932363953,0.0
48,219.08431212574956,"[-0.30450818217187947, 900.1019122417106, -0.20696364985299512, 899.2287552826126]",421.25046704151424,1.9288697175400058,10.755813463319713,0.0
49,205.15485289983943,"[-0.12219055378134291, 900.5728887011815, 0.2653703641786185, 899.3614605795287]",421.25046704151424,-0.4353858467050365,7.663032045877587,0.0
50,216.2340758238741,"[-0.09905294480790797, 899.5532166830093, -0.02805311891875173, 899.7447479077812]",421.25046704151424,0.8480967352057148,11.675666805879537,0.0
51,218.09432895921768,"[899.6291727076891, -0.28021303902946115, -0.41137032627071324, 899.8670534319305]",421.25046704151424,-13.62385315235189,10.62023571488792,0.0
52,178.55751262191836,"[0.09473082957958118, 899.7771009993808, 0.6274909768067027, 900.0259850234845]",421.25046704151424,2.032607619729625,13.385967652557401,0.0
53,174.60579256039117,"[0.20027455523777354, 899.802674611869, 0.06709672860205608, 899.9272934276851]",421.25046704151424,13.40042497648077,14.220141349975492,0.0
54,208.31391138119753,"[0.0481888805815508, 899.6826698967673, -0.2808129464311035, 899.9288792916274]",421.25046704151424,1.5281449650858683,18.758073983346005,0.0
55,345.3533094409274,"[-0.1566551205746472, 900.3233962304355, 900.2584954476587, 900.000982114715]",421.25046704151424,-2.6870991914537328,-28.76030930554853,0.0
56,277.4904040190843,"[-0.34217782643827654, 900.3548270522066, -0.0989827321420984, -0.004761769280874303]",421.25046704151424,-3.1950174673274643,-1.6378626993841607,0.0
57,425.39993499464134,"[-0.44936934464798184, 900.457892741258, 2.3537816476690674, 900.1087149353136]",425.39993499464134,-5.341696927191522,-58.933284406521814,6.932408281775442
58,297.0556517754646,"[-0.4381346467346554, 899.1173061079207, 0.2475276459567739, 67.30930362518646]",425.39993499464134,-5.075446889916041,2.155527709210586,0.0
59,466.76569456242083,"[-0.23714301949182892, 900.2331420353413, 0.4270224085113621, 899.6815970870695]",484.12298591412247,-9.96662889467068,4.864164207476393,0.0
60,197.21120368034906,"[-0.1522354249255865, 900.6908259768886, -0.2058101538483982, 899.768443621866]",484.12298591412247,-2.336381218197999,4.981863235201138,0.0
61,270.93457839412645,"[-0.4332047120695464, 899.6868019167038, -0.4350787566269224, 899.7740275272411]",484.12298591412247,-6.073451368783523,4.94222392046921,0.0
62,247.09366581967666,"[-0.01851128660772497, 899.2850919318068, 0.3170510778695478, 899.7312703435344]",484.12298591412247,-4.844365443796219,3.217806174341392,0.0
63,464.3457873055309,"[689.5905734545239, 899.8105727257949, 900.0954314542565, -0.3192904590353195]",484.12298591412247,-4.660755692730213,-8.967830476551025,26.48321885187504
64,233.88211045271015,"[899.5100423370095, 899.3789748898216, -0.1774820302424029, 899.8173594850813]",484.12298591412247,-4.2265848952458445,1.8185570105495705,0.0
65,260.4418866178981,"[-0.5766452985180139, 899.8439382624658, -0.739829001266391, 899.3544043484704]",484.12298591412247,-1.9305470428829326,0.22915365781305774,0.0
66,298.85959863311354,"[899.5717321036011, 899.8889998508959, 0.15265473746793592, 899.9738297454994]",484.12298591412247,-5.881973751635913,3.565974970842139,0.0
67,482.2698262972897,"[-0.24507888585283866, 900.6068619658683, 0.39696287157714677, 900.0166558638712]",484.12298591412247,-3.4618883414046255,-6.109889659309269,51.64390687524546
68,472.59618412348476,"[0.3179068483399203, 899.1337741149357, -2.4930090174568598e-05, 900.0291110366916]",484.12298591412247,-3.3220589493060184,-3.373305887118968,52.14345334976165
69,379.7699133521761,"[-0.04396830042963007, 900.4991115119217, -0.05957786429555814, 900.5415808883829]",484.12298591412247,-3.7789985205718906,21.854696969321964,0.0
70,201.77873503352177,"[900.6555344531296, 0.27126379683073076, 0.341625743160765, 883.7650861141905]",484.12298591412247,-0.7789584840412881,0.0009153686106431199,0.0
71,476.2490544545844,"[-0.5844717811741577, 900.321733015962, -0.2940181144873396, 899.8271071046017]",484.12298591412247,-3.2592647270276354,5.774957853933733,52.110749903227266
72,477.56965803727775,"[-0.019273550447739013, 899.9621762622405, -0.5041289324429091, -0.07211106098222653]",484.12298591412247,-3.4703200019942635,0.20487707175601025,51.31392211764585
73,354.81924771501906,"[0.2970647525168554, 900.0463394129192, -0.1373194789145865, 0.43655138343011873]",484.12298591412247,-2.4695618460064743,-3.275475670053822,0.0
74,472.04690839434295,"[0.6093214483245069, 899.5409051719793, 0.2338663632932036, 899.7647029333461]",484.12298591412247,-3.244172724880934,1.8898537740953405,52.16129765637601
75,477.7258540696663,"[-0.2154509919988618, 900.2895111251889, -0.44820859828500503, 899.5039412877592]",484.12298591412247,-3.393896949409592,-0.9546817485190886,52.060838057645256
76,469.8282538818161,"[-0.7577642795222196, 899.4816148333874, -0.5025586503423245, 900.1295064646808]",484.12298591412247,-3.2269978692436694,11.12439486895248,51.811454362319076
77,463.4504463781449,"[0.313270515742049, 900.6330876933112, -0.6299329244077582, 900.0208388003656]",484.12298591412247,-3.0592499258296213,17.591339558388803,51.131569703442835
78,474.7160730324233,"[0.12977404802563652, 899.944097793227, 0.24882892044509866, 899.9466055816329]",484.12298591412247,-3.170296135546698,11.356450095220952,51.8021552361369
79,475.38612581936366,"[0.2618865229720699, 900.0684058060452, -0.20942926680543494, 900.1366167135535]",484.12298591412247,-3.272634516657844,9.444646576112106,51.864936659725494
80,477.7048073123543,"[-0.2882819642369985, 900.9888867879781, 0.3524984002310966, 900.1422208054943]",484.12298591412247,-3.3402737085236733,-0.07135744218555698,52.05800935476172
81,392.75836011339715,"[900.1946585052126, -0.2318548043906978, -0.10424547955541946, -0.2068814992056829]",484.12298591412247,-7.158862222071386,-2.0195192043064982,0.0
82,327.6825306745937,"[0.14974729054158492, 899.6143679528257, -0.47558411831653585, 900.072205565291]",484.12298591412247,-3.593351598471438,-21.207884484307737,0.0
83,477.36142686186685,"[0.13010014040657975, 0.19338314294981823, 0.1418502310008907, 900.5404700261381]",484.12298591412247,-3.420320194519065,0.87244223716351,52.00673592222834
84,214.35784433722472,"[-0.06329385795737287, -0.36792573230485476, 0.1323640382886, 900.534484953364]",484.12298591412247,-0.8181379200170138,3.120086111530246,0.0
85,427.277231418455,"[0.06538328663141951, -0.28964787173246553, 0.17596865400510964, 0.4319038787953006]",484.12298591412247,-4.600050504949747,3.2809380309136693,0.0
86,190.70960405286752,"[-0.4595769442273763, 899.7118599750349, -0.06639608939305525, 899.438576487979]",484.12298591412247,0.7672047620878397,5.831015260303516,0.0
87,221.69343668690794,"[-0.35319524926490836, 0.41452079994575797, -0.11601550482775513, 0.3255451182797021]",484.12298591412247,-1.356519750576929,1.1351542219851947,0.0
88,218.79288269900343,"[-0.5906203864124316, 900.3638784937361, 0.06886844567950398, -0.10593854790609897]",484.12298591412247,-1.602058767219031,1.5715039930760921,0.0
89,478.2296607726019,"[900.2709218797249, 899.6712421097526, 0.2615237412531653, 900.6045216867483]",484.12298591412247,-6.347363047958631,10.810401971512553,18.02957083679427
90,257.869455827428,"[899.7933731480225, 899.158115827717, -0.05565957179544076, 899.5814384190804]",484.12298591412247,6.874725894533447,13.209403400319847,0.0
91,213.754598011569,"[900.6089753183059, -0.14568535130265997, -0.5660441012506037, 900.693923509618]",484.12298591412247,-8.825506735718255,22.997044990929638,0.0
